date,division,rain_sum
2014-12-03,Ududumbara,7.1
2014-12-04,Ududumbara,0.0
2014-12-05,Ududumbara,0.6
2014-12-06,Ududumbara,9.3
2014-12-07,Ududumbara,8.2
2014-12-08,Ududumbara,18.7
2014-12-09,Ududumbara,10.5
2014-12-10,Ududumbara,3.8
2014-12-11,Ududumbara,2.4
2014-12-12,Ududumbara,10.2
2014-12-13,Ududumbara,2.7
2014-12-14,Ududumbara,0.0
2014-12-15,Ududumbara,3.2
2014-12-16,Ududumbara,1.9
2014-12-17,Ududumbara,23.7
2014-12-18,Ududumbara,23.9
2014-12-19,Ududumbara,9.6
2014-12-20,Ududumbara,236.8
2014-12-21,Ududumbara,14.4
2014-12-22,Ududumbara,84.5
2014-12-23,Ududumbara,67.8
2014-12-24,Ududumbara,35.7
2014-12-25,Ududumbara,60.4
2014-12-26,Ududumbara,52.4
2014-12-27,Ududumbara,9.0
2014-12-28,Ududumbara,20.5
2014-12-29,Ududumbara,5.9
2014-12-30,Ududumbara,2.7
2014-12-31,Ududumbara,1.9
2014-07-01,Laggala,0.0
2014-07-02,Laggala,0.0
2014-07-03,Laggala,0.0
2014-07-04,Laggala,0.0
2014-07-05,Laggala,1.9
2014-07-06,Laggala,0.9
2014-07-07,Laggala,0.0
2014-07-08,Laggala,0.8
2014-07-09,Laggala,0.0
2014-07-10,Laggala,2.6
2014-07-11,Laggala,0.1
2014-07-12,Laggala,4.1
2014-07-13,Laggala,4.2
2014-07-14,Laggala,3.4
2014-07-15,Laggala,0.1
2014-07-16,Laggala,0.2
2014-07-17,Laggala,0.0
2014-07-18,Laggala,1.1
2014-07-19,Laggala,0.2
2014-07-20,Laggala,0.3
2014-07-21,Laggala,0.1
2014-07-22,Laggala,1.6
2014-07-23,Laggala,0.2
2014-07-24,Laggala,0.3
2014-07-25,Laggala,0.3
2014-07-26,Laggala,0.2
2014-07-27,Laggala,0.6
2014-07-28,Laggala,1.7
2014-07-29,Laggala,0.0
2014-07-30,Laggala,0.0
2014-07-31,Laggala,0.3
2014-08-01,Laggala,0.1
2014-08-02,Laggala,0.2
2014-08-03,Laggala,1.2
2014-08-04,Laggala,0.3
2014-08-05,Laggala,1.3
2014-08-06,Laggala,0.0
2014-08-07,Laggala,0.8
2014-08-08,Laggala,0.7
2014-08-09,Laggala,0.3
2014-08-10,Laggala,0.2
2014-08-11,Laggala,0.5
2014-08-12,Laggala,0.8
2014-08-13,Laggala,0.6
2014-08-14,Laggala,0.9
2014-08-15,Laggala,2.3
2014-08-16,Laggala,3.1
2014-08-17,Laggala,5.6
2014-08-18,Laggala,5.4
2014-08-19,Laggala,1.5
2014-08-20,Laggala,0.7
2014-08-21,Laggala,1.8
2014-08-22,Laggala,2.2
2014-08-23,Laggala,3.3
2014-08-24,Laggala,1.5
2014-08-25,Laggala,0.9
2014-08-26,Laggala,0.0
2014-08-27,Laggala,0.0
2014-08-28,Laggala,0.0
2014-08-29,Laggala,0.0
2014-08-30,Laggala,0.0
2014-08-31,Laggala,0.2
2014-09-01,Laggala,1.0
2014-09-02,Laggala,0.8
2014-09-03,Laggala,0.8
2014-09-04,Laggala,3.6
2014-09-05,Laggala,1.4
2014-09-06,Laggala,3.0
2014-09-07,Laggala,1.1
2014-09-08,Laggala,0.0
2014-09-09,Laggala,0.8
2014-09-10,Laggala,1.9
2014-09-11,Laggala,1.1
2014-09-12,Laggala,0.5
2014-09-13,Laggala,1.4
2014-09-14,Laggala,1.5
2014-09-15,Laggala,0.3
2014-09-16,Laggala,0.8
2014-09-17,Laggala,0.0
2014-09-18,Laggala,0.4
2014-09-19,Laggala,0.0
2014-09-20,Laggala,0.0
2014-09-21,Laggala,0.3
2014-09-22,Laggala,0.5
2014-09-23,Laggala,1.5
2014-09-24,Laggala,1.0
2014-09-25,Laggala,11.4
2014-09-26,Laggala,13.7
2014-09-27,Laggala,6.0
2014-09-28,Laggala,12.3
2014-09-29,Laggala,6.9
2014-09-30,Laggala,10.0
2014-10-01,Laggala,19.8
2014-10-02,Laggala,11.5
2014-10-03,Laggala,24.0
2014-10-04,Laggala,10.8
2014-10-05,Laggala,2.8
2014-10-06,Laggala,1.7
2014-10-07,Laggala,1.9
2014-10-08,Laggala,0.6
2014-10-09,Laggala,1.9
2014-10-10,Laggala,1.0
2014-10-11,Laggala,0.0
2014-10-12,Laggala,0.2
2014-10-13,Laggala,0.2
2014-10-14,Laggala,2.9
2014-10-15,Laggala,8.0
2014-10-16,Laggala,6.1
2014-10-17,Laggala,27.0
2014-10-18,Laggala,27.9
2014-10-19,Laggala,10.4
2014-10-20,Laggala,10.1
2014-10-21,Laggala,15.3
2014-10-22,Laggala,2.8
2014-10-23,Laggala,18.0
2014-10-24,Laggala,2.2
2014-10-25,Laggala,8.0
2014-10-26,Laggala,7.8
2014-10-27,Laggala,1.2
2014-10-28,Laggala,9.5
2014-10-29,Laggala,5.3
2014-10-30,Laggala,7.7
2014-10-31,Laggala,16.4
2014-11-01,Laggala,1.4
2014-11-02,Laggala,4.8
2014-11-03,Laggala,21.9
2014-11-04,Laggala,24.4
2014-11-05,Laggala,3.2
2014-11-06,Laggala,1.1
2014-11-07,Laggala,0.0
2014-11-08,Laggala,0.0
2014-11-09,Laggala,0.1
2014-11-10,Laggala,0.8
2014-11-11,Laggala,2.2
2014-11-12,Laggala,14.6
2014-11-13,Laggala,12.2
2014-11-14,Laggala,4.8
2014-11-15,Laggala,1.2
2014-11-16,Laggala,6.3
2014-11-17,Laggala,1.8
2014-11-18,Laggala,10.2
2014-11-19,Laggala,17.3
2014-11-20,Laggala,17.6
2014-11-21,Laggala,9.0
2014-11-22,Laggala,44.0
2014-11-23,Laggala,50.9
2014-11-24,Laggala,3.6
2014-11-25,Laggala,58.3
2014-11-26,Laggala,32.5
2014-11-27,Laggala,16.7
2014-11-28,Laggala,20.7
2014-11-29,Laggala,3.2
2014-11-30,Laggala,0.4
2014-12-01,Laggala,5.0
2014-12-02,Laggala,7.5
2014-12-03,Laggala,10.4
2014-12-04,Laggala,0.0
2014-12-05,Laggala,1.4
2014-12-06,Laggala,10.0
2014-12-07,Laggala,7.3
2014-12-08,Laggala,15.4
2014-12-09,Laggala,12.0
2014-12-10,Laggala,4.9
2014-12-11,Laggala,2.7
2014-12-12,Laggala,7.6
2014-12-13,Laggala,6.4
2014-12-14,Laggala,0.8
2014-12-15,Laggala,4.6
2014-12-16,Laggala,2.4
2014-12-17,Laggala,26.9
2014-12-18,Laggala,17.5
2014-12-19,Laggala,10.8
2014-12-20,Laggala,224.5
2014-12-21,Laggala,31.4
2014-12-22,Laggala,109.6
2014-12-23,Laggala,58.4
2014-12-24,Laggala,31.9
2014-12-25,Laggala,56.2
2014-12-26,Laggala,47.3
2014-12-27,Laggala,13.2
2014-12-28,Laggala,25.1
2014-12-29,Laggala,5.0
2014-12-30,Laggala,3.2
2014-12-31,Laggala,1.4
2014-07-01,Lunugala,0.0
2014-07-02,Lunugala,0.3
2014-07-03,Lunugala,0.0
2014-07-04,Lunugala,0.0
2014-07-05,Lunugala,0.2
2014-07-06,Lunugala,0.0
2014-07-07,Lunugala,0.0
2014-07-08,Lunugala,0.4
2014-07-09,Lunugala,0.0
2014-07-10,Lunugala,1.0
2014-07-11,Lunugala,0.0
2014-07-12,Lunugala,0.0
2014-07-13,Lunugala,0.0
2014-07-14,Lunugala,0.0
2014-07-15,Lunugala,0.0
2014-07-16,Lunugala,0.0
2014-07-17,Lunugala,0.0
2014-07-18,Lunugala,0.1
2014-07-19,Lunugala,0.0
2014-07-20,Lunugala,0.0
2014-07-21,Lunugala,0.0
2014-07-22,Lunugala,0.5
2014-07-23,Lunugala,0.0
2014-07-24,Lunugala,0.8
2014-07-25,Lunugala,0.0
2014-07-26,Lunugala,0.0
2014-07-27,Lunugala,0.0
2014-07-28,Lunugala,0.3
2014-07-29,Lunugala,0.0
2014-07-30,Lunugala,0.0
2014-07-31,Lunugala,0.0
2014-08-01,Lunugala,0.1
2014-08-02,Lunugala,0.0
2014-08-03,Lunugala,1.5
2014-08-04,Lunugala,0.0
2014-08-05,Lunugala,0.7
2014-08-06,Lunugala,0.6
2014-08-07,Lunugala,0.0
2014-08-08,Lunugala,0.4
2014-08-09,Lunugala,0.0
2014-08-10,Lunugala,0.1
2014-08-11,Lunugala,2.9
2014-08-12,Lunugala,0.0
2014-08-13,Lunugala,0.0
2014-08-14,Lunugala,0.4
2014-08-15,Lunugala,1.3
2014-08-16,Lunugala,0.5
2014-08-17,Lunugala,7.3
2014-08-18,Lunugala,9.9
2014-08-19,Lunugala,26.4
2014-08-20,Lunugala,19.6
2014-08-21,Lunugala,13.4
2014-08-22,Lunugala,17.2
2014-08-23,Lunugala,4.0
2014-08-24,Lunugala,9.7
2014-08-25,Lunugala,6.1
2014-08-26,Lunugala,0.0
2014-08-27,Lunugala,0.0
2014-08-28,Lunugala,0.0
2014-08-29,Lunugala,0.0
2014-08-30,Lunugala,0.0
2014-08-31,Lunugala,0.0
2014-09-01,Lunugala,0.3
2014-09-02,Lunugala,3.2
2014-09-03,Lunugala,12.4
2014-09-04,Lunugala,6.5
2014-09-05,Lunugala,5.1
2014-09-06,Lunugala,1.9
2014-09-07,Lunugala,0.0
2014-09-08,Lunugala,0.3
2014-09-09,Lunugala,0.7
2014-09-10,Lunugala,2.2
2014-09-11,Lunugala,0.1
2014-09-12,Lunugala,0.0
2014-09-13,Lunugala,0.0
2014-09-14,Lunugala,0.0
2014-09-15,Lunugala,0.2
2014-09-16,Lunugala,0.0
2014-09-17,Lunugala,0.0
2014-09-18,Lunugala,0.0
2014-09-19,Lunugala,0.2
2014-09-20,Lunugala,0.0
2014-09-21,Lunugala,0.0
2014-09-22,Lunugala,0.3
2014-09-23,Lunugala,0.4
2014-09-24,Lunugala,1.0
2014-09-25,Lunugala,7.7
2014-09-26,Lunugala,30.1
2014-09-27,Lunugala,25.2
2014-09-28,Lunugala,3.1
2014-09-29,Lunugala,10.4
2014-09-30,Lunugala,14.5
2014-10-01,Lunugala,3.8
2014-10-02,Lunugala,8.6
2014-10-03,Lunugala,10.6
2014-10-04,Lunugala,30.3
2014-10-05,Lunugala,11.9
2014-10-06,Lunugala,5.2
2014-10-07,Lunugala,8.7
2014-10-08,Lunugala,4.9
2014-10-09,Lunugala,13.1
2014-10-10,Lunugala,0.8
2014-10-11,Lunugala,0.0
2014-10-12,Lunugala,0.4
2014-10-13,Lunugala,0.1
2014-10-14,Lunugala,15.5
2014-10-15,Lunugala,2.3
2014-10-16,Lunugala,33.8
2014-10-17,Lunugala,16.2
2014-10-18,Lunugala,42.5
2014-10-19,Lunugala,38.2
2014-10-20,Lunugala,25.7
2014-10-21,Lunugala,22.7
2014-10-22,Lunugala,4.3
2014-10-23,Lunugala,33.9
2014-10-24,Lunugala,7.8
2014-10-25,Lunugala,4.5
2014-10-26,Lunugala,4.1
2014-10-27,Lunugala,2.2
2014-10-28,Lunugala,9.0
2014-10-29,Lunugala,0.2
2014-10-30,Lunugala,9.9
2014-10-31,Lunugala,16.0
2014-11-01,Lunugala,13.1
2014-11-02,Lunugala,3.5
2014-11-03,Lunugala,12.9
2014-11-04,Lunugala,10.3
2014-11-05,Lunugala,0.3
2014-11-06,Lunugala,0.5
2014-11-07,Lunugala,0.0
2014-11-08,Lunugala,0.1
2014-11-09,Lunugala,0.3
2014-11-10,Lunugala,0.8
2014-11-11,Lunugala,0.0
2014-11-12,Lunugala,8.9
2014-11-13,Lunugala,17.0
2014-11-14,Lunugala,5.1
2014-11-15,Lunugala,1.6
2014-11-16,Lunugala,3.3
2014-11-17,Lunugala,1.9
2014-11-18,Lunugala,3.2
2014-11-19,Lunugala,26.7
2014-11-20,Lunugala,14.6
2014-11-21,Lunugala,12.0
2014-11-22,Lunugala,84.6
2014-11-23,Lunugala,113.7
2014-11-24,Lunugala,7.0
2014-11-25,Lunugala,49.4
2014-11-26,Lunugala,18.5
2014-11-27,Lunugala,9.4
2014-11-28,Lunugala,23.2
2014-11-29,Lunugala,9.0
2014-11-30,Lunugala,1.7
2014-12-01,Lunugala,2.9
2014-12-02,Lunugala,2.2
2014-12-03,Lunugala,4.8
2014-12-04,Lunugala,0.0
2014-12-05,Lunugala,0.9
2014-12-06,Lunugala,6.5
2014-12-07,Lunugala,3.5
2014-12-08,Lunugala,14.4
2014-12-09,Lunugala,9.1
2014-12-10,Lunugala,4.4
2014-12-11,Lunugala,3.5
2014-12-12,Lunugala,6.7
2014-12-13,Lunugala,3.9
2014-12-14,Lunugala,0.0
2014-12-15,Lunugala,1.5
2014-12-16,Lunugala,3.1
2014-12-17,Lunugala,42.3
2014-12-18,Lunugala,21.0
2014-12-19,Lunugala,11.7
2014-12-20,Lunugala,168.5
2014-12-21,Lunugala,10.7
2014-12-22,Lunugala,88.2
2014-12-23,Lunugala,80.4
2014-12-24,Lunugala,41.8
2014-12-25,Lunugala,77.7
2014-12-26,Lunugala,52.6
2014-12-27,Lunugala,4.8
2014-12-28,Lunugala,11.5
2014-12-29,Lunugala,0.6
2014-12-30,Lunugala,11.7
2014-12-31,Lunugala,2.4
2014-07-01,Kothmale East,11.5
2014-07-02,Kothmale East,3.0
2014-07-03,Kothmale East,4.5
2014-07-04,Kothmale East,7.2
2014-07-05,Kothmale East,17.7
2014-07-06,Kothmale East,10.3
2014-07-07,Kothmale East,6.0
2014-07-08,Kothmale East,8.7
2014-07-09,Kothmale East,7.9
2014-07-10,Kothmale East,22.6
2014-07-11,Kothmale East,4.7
2014-07-12,Kothmale East,12.1
2014-07-13,Kothmale East,8.6
2014-07-14,Kothmale East,11.6
2014-07-15,Kothmale East,4.4
2014-07-16,Kothmale East,1.9
2014-07-17,Kothmale East,0.1
2014-07-18,Kothmale East,3.7
2014-07-19,Kothmale East,3.5
2014-07-20,Kothmale East,5.4
2014-07-21,Kothmale East,2.0
2014-07-22,Kothmale East,4.2
2014-07-23,Kothmale East,3.9
2014-07-24,Kothmale East,3.4
2014-07-25,Kothmale East,2.2
2014-07-26,Kothmale East,3.2
2014-07-27,Kothmale East,19.6
2014-07-28,Kothmale East,13.7
2014-07-29,Kothmale East,8.9
2014-07-30,Kothmale East,5.0
2014-07-31,Kothmale East,4.5
2014-08-01,Kothmale East,10.0
2014-08-02,Kothmale East,8.4
2014-08-03,Kothmale East,11.6
2014-08-04,Kothmale East,9.1
2014-08-05,Kothmale East,12.4
2014-08-06,Kothmale East,3.8
2014-08-07,Kothmale East,2.6
2014-08-08,Kothmale East,7.9
2014-08-09,Kothmale East,1.3
2014-08-10,Kothmale East,3.1
2014-08-11,Kothmale East,13.6
2014-08-12,Kothmale East,5.0
2014-08-13,Kothmale East,4.9
2014-08-14,Kothmale East,7.4
2014-08-15,Kothmale East,15.9
2014-08-16,Kothmale East,9.5
2014-08-17,Kothmale East,6.9
2014-08-18,Kothmale East,8.3
2014-08-19,Kothmale East,2.5
2014-08-20,Kothmale East,2.0
2014-08-21,Kothmale East,14.1
2014-08-22,Kothmale East,30.3
2014-08-23,Kothmale East,12.1
2014-08-24,Kothmale East,3.0
2014-08-25,Kothmale East,2.4
2014-08-26,Kothmale East,0.0
2014-08-27,Kothmale East,0.0
2014-08-28,Kothmale East,0.1
2014-08-29,Kothmale East,4.3
2014-08-30,Kothmale East,2.8
2014-08-31,Kothmale East,3.4
2014-09-01,Kothmale East,5.3
2014-09-02,Kothmale East,4.0
2014-09-03,Kothmale East,6.0
2014-09-04,Kothmale East,10.5
2014-09-05,Kothmale East,4.9
2014-09-06,Kothmale East,7.6
2014-09-07,Kothmale East,7.2
2014-09-08,Kothmale East,6.4
2014-09-09,Kothmale East,6.3
2014-09-10,Kothmale East,11.0
2014-09-11,Kothmale East,3.2
2014-09-12,Kothmale East,2.5
2014-09-13,Kothmale East,3.3
2014-09-14,Kothmale East,5.4
2014-09-15,Kothmale East,11.0
2014-09-16,Kothmale East,6.7
2014-09-17,Kothmale East,7.6
2014-09-18,Kothmale East,8.0
2014-09-19,Kothmale East,4.1
2014-09-20,Kothmale East,0.6
2014-09-21,Kothmale East,0.3
2014-09-22,Kothmale East,1.2
2014-09-23,Kothmale East,5.0
2014-09-24,Kothmale East,10.2
2014-09-25,Kothmale East,30.5
2014-09-26,Kothmale East,10.9
2014-09-27,Kothmale East,3.4
2014-09-28,Kothmale East,18.1
2014-09-29,Kothmale East,21.6
2014-09-30,Kothmale East,25.3
2014-10-01,Kothmale East,35.2
2014-10-02,Kothmale East,41.0
2014-10-03,Kothmale East,49.4
2014-10-04,Kothmale East,17.2
2014-10-05,Kothmale East,3.2
2014-10-06,Kothmale East,4.7
2014-10-07,Kothmale East,4.3
2014-10-08,Kothmale East,5.8
2014-10-09,Kothmale East,3.5
2014-10-10,Kothmale East,7.3
2014-10-11,Kothmale East,0.9
2014-10-12,Kothmale East,4.9
2014-10-13,Kothmale East,1.1
2014-10-14,Kothmale East,3.5
2014-10-15,Kothmale East,29.5
2014-10-16,Kothmale East,97.3
2014-10-17,Kothmale East,65.6
2014-10-18,Kothmale East,30.8
2014-10-19,Kothmale East,5.6
2014-10-20,Kothmale East,7.9
2014-10-21,Kothmale East,20.4
2014-10-22,Kothmale East,41.7
2014-10-23,Kothmale East,39.6
2014-10-24,Kothmale East,14.8
2014-10-25,Kothmale East,40.5
2014-10-26,Kothmale East,29.1
2014-10-27,Kothmale East,38.6
2014-10-28,Kothmale East,43.8
2014-10-29,Kothmale East,6.7
2014-10-30,Kothmale East,20.3
2014-10-31,Kothmale East,18.4
2014-11-01,Kothmale East,1.7
2014-11-02,Kothmale East,5.6
2014-11-03,Kothmale East,6.6
2014-11-04,Kothmale East,17.1
2014-11-05,Kothmale East,7.1
2014-11-06,Kothmale East,1.2
2014-11-07,Kothmale East,0.0
2014-11-08,Kothmale East,0.0
2014-11-09,Kothmale East,0.0
2014-11-10,Kothmale East,1.0
2014-11-11,Kothmale East,5.1
2014-11-12,Kothmale East,12.4
2014-11-13,Kothmale East,23.0
